x,beta_r_log,beta_theta_log,beta_z_log,full,rel_-0.10,rel_-0.08,rel_-0.06,rel_-0.04,rel_-0.02,rel_+0.00
5.521775076911409341e-01,-1.651855278055336385e+00,1.340386717316732756e+00,4.763242322098903969e+00,2.549113580130324408e+00,3.329492743375794817e-01,3.957799013676321920e-01,4.635436575028961670e-01,5.381970473194996885e-01,6.178021229175101325e-01,7.048547519161729724e-01
5.776677245614472156e-01,-1.649595169368467396e+00,1.342126563486090163e+00,4.650708995512786714e+00,2.507600993482128615e+00,2.894812867282325897e-01,3.512342379963229178e-01,4.187747109085648844e-01,4.934720719518281840e-01,5.730883522403473762e-01,6.602424537049955688e-01
6.020797289396148111e-01,-1.652307292374644021e+00,1.343845388106501559e+00,4.538043715882622564e+00,2.459854386103188517e+00,2.394068667399551487e-01,3.022533203989041795e-01,3.693295414564090606e-01,4.422805045578570571e-01,5.219528020461439155e-01,6.094967380931848311e-01
6.255397669213365042e-01,-1.654716537586864433e+00,1.345535048500323683e+00,4.422541549047309672e+00,2.414459191015794204e+00,2.059090689954246045e-01,2.589652588369517616e-01,3.213508465194081509e-01,3.953664865719019872e-01,4.743428982578734576e-01,5.609196144007455587e-01
6.481512169239520560e-01,-1.652008997012899272e+00,1.347270055589433468e+00,4.308659108147594452e+00,2.361883927335384215e+00,1.661474459524470149e-01,2.103054177382546186e-01,2.703935855663530674e-01,3.428052495735300909e-01,4.199253208980735508e-01,5.057997900337340980e-01
6.699999999999999289e-01,-1.654927129948191578e+00,1.348890935872759655e+00,4.195605918937417300e+00,2.301449026589352798e+00,1.062269475937682728e-01,1.725441374844649545e-01,2.314865851360536908e-01,2.838664366322518617e-01,3.575025382929197804e-01,4.452333806170827302e-01
6.911584478250989427e-01,-1.657498337408469524e+00,1.350600391845091508e+00,4.077657694523395548e+00,2.248815295047279506e+00,8.935250903618907614e-02,1.407037225931162538e-01,1.795879930455157591e-01,2.401195861523319763e-01,3.119694780195914063e-01,3.922888255658563139e-01
7.116881339463233536e-01,-1.656959270235347503e+00,1.352154342271205678e+00,3.964532482712002093e+00,2.176421676551854034e+00,1.999808992536600272e-01,1.089180781832510547e-01,1.088526671821909986e-01,1.992344256507294631e-01,2.605755379647689551e-01,3.201921452955502900e-01
7.316419889536137644e-01,-1.659881398978768630e+00,1.353438394886552487e+00,3.848374092427775395e+00,2.113689109251026821e+00,-7.465756344515739329e-01,3.988603708648952306e-02,1.440314230194417178e-01,1.698961852980573894e-01,1.980755713759663195e-01,2.808646370056067099e-01
7.510659092250159263e-01,-1.656662890781035458e+00,1.354713865566736786e+00,3.733903692619833237e+00,2.040381474159858044e+00,-4.731374723121462011e-01,-5.924467825479950989e-01,1.250246796757892298e-01,8.446594890187952842e-02,1.403726516002734570e-01,2.341990854404230049e-01
7.699999999999999067e-01,-1.662740540950835566e+00,1.354973696550132445e+00,3.617347055211439510e+00,1.968434734322954682e+00,5.547003704009512148e-01,-5.352388629376036988e-01,-8.578601503472782497e-01,1.438777168516480742e-01,2.274150095615823375e-01,1.866670957895166794e-01
7.884795495128582576e-01,-1.658687896082255975e+00,1.355718908655489940e+00,3.499520209970796714e+00,1.895872744199778026e+00,3.245182126931922539e-01,7.684488416259682708e-01,-7.817203525917193474e-01,-6.373319591546078300e-01,8.481562986162316520e-02,1.062182609246065113e-01
8.065358020571684605e-01,-1.664436806692037862e+00,1.348899755129195910e+00,3.379677554704585418e+00,1.826606583108514315e+00,9.087980814115326211e-02,3.883569829099542403e-01,6.682080444875282410e-01,-1.171373079813520235e+00,-5.627986304546084284e-01,2.143037531254776695e-01
8.241965784932621109e-01,-1.654229356091718728e+00,1.347202968560168301e+00,3.249722804099519635e+00,1.752297471000474616e+00,8.087228309250349412e-04,4.832298600376816466e-02,5.396380626621066767e-01,7.914406748454894114e-01,-1.370882418285646054e+00,-4.770783361607300321e-01
8.414867794564570014e-01,-1.655587775388767113e+00,1.329948441934902803e+00,3.087638433783013170e+00,1.692132858011063945e+00,-1.654822426644386724e-02,3.917940730957525375e-02,1.764770496492928942e-01,5.927395733351659146e-01,6.994543301175326633e-01,-1.755121614905874594e+00
