x,beta_r_log,beta_theta_log,beta_z_log,full,c080,c082,c084,c086,c088,c090
6.481512169239520560e-01,-3.073250823604212201e-01,8.034854008087677357e-01,1.720218309628762654e+00,8.588794123909337941e-01,1.905900555243533745e-01,2.047886917466712475e-01,2.196755990269139147e-01,2.381279369956246228e-01,2.609771975414787448e-01,2.900727480437126360e-01
6.699999999999999289e-01,-3.065046099948176561e-01,8.009830227706515871e-01,1.684901031211438749e+00,8.653281147985580901e-01,2.013196305483688775e-01,2.152049044923387555e-01,2.287159038871777739e-01,2.468430923840969626e-01,2.686188391010091436e-01,2.963714112524939992e-01
6.911584478250989427e-01,-3.009578961155057186e-01,7.982400424566549191e-01,1.646086581530425974e+00,8.763269870826206898e-01,1.985914406077426975e-01,2.205389705522975419e-01,2.406650639841245720e-01,2.595032177055145439e-01,2.802679864544188604e-01,3.075245295747208729e-01
7.116881339463233536e-01,-2.975662454218763742e-01,7.932583550029903563e-01,1.608671624779844933e+00,8.837571122910503618e-01,1.867347552320097748e-01,2.224616125090506102e-01,2.508027597514228546e-01,2.688877894740926422e-01,2.885138107444618072e-01,3.154040462050033966e-01
7.316419889536137644e-01,-2.929157633957402140e-01,7.884906401045554958e-01,1.564633123649628033e+00,8.941382826321842003e-01,1.434691692736578261e-01,2.167115735574043356e-01,2.448811498823033617e-01,2.737372072658672550e-01,3.005541950074075430e-01,3.265323452694701700e-01
7.510659092250159263e-01,-2.845917474303405470e-01,7.794764219681837858e-01,1.521373816899540543e+00,8.984526800759340404e-01,8.149419770120402973e-02,1.957104514360707981e-01,2.286666190798314346e-01,2.738924888490146259e-01,3.076106810340206721e-01,3.315091059619135194e-01
7.699999999999999067e-01,-2.769591571905039018e-01,7.700586223791106022e-01,1.468624879805702221e+00,8.961664818230019591e-01,-2.623501214316092955e-01,8.166937845999200363e-03,1.864120456218643085e-01,2.635476536738678988e-01,2.933928101356286788e-01,3.297721094952521526e-01
7.884795495128582576e-01,-2.639763069112177618e-01,7.524974969896902621e-01,1.414501802372569728e+00,8.859858188259295275e-01,-6.504744889923586015e-01,-2.332972820795475855e-01,1.244105408204632113e-01,2.371353754426763771e-01,2.696673688262762880e-01,3.223128473450742604e-01
8.065358020571684605e-01,-2.536758567828201194e-01,7.396713277785238461e-01,1.341505834773215611e+00,8.492795831216426450e-01,3.121470497546852130e-01,-7.373415361655588640e-01,-2.482769998835010483e-01,4.309155443138479313e-02,2.239225078426443361e-01,2.885464039081853116e-01
8.241965784932621109e-01,-2.340564014957635663e-01,7.091971043848843692e-01,1.261231186475697541e+00,8.033060058210139687e-01,6.436691923283888173e-01,1.808306981843088579e-01,-7.743271058302525489e-01,-1.947398365587105218e-01,1.780665294859318237e-01,2.472384463203525229e-01
8.414867794564570014e-01,-2.114037489775455469e-01,6.808384679857226729e-01,1.154246372294664980e+00,7.036925235581747984e-01,4.463231272211487521e-01,6.768822514402472734e-01,-3.687215084369199758e-02,-7.596906023366045702e-01,-2.082921197654741263e-01,7.738904045595518255e-02
