x,beta_r_log,beta_theta_log,beta_z_log,full,c080,c082,c084,c086,c088,c090
5.521775076911409341e-01,-9.989569896617922495e-01,9.246034349530418694e-01,4.282616147150974939e+00,2.546995796421924751e+00,4.984241394367927569e-01,5.764005740616084950e-01,6.598782883315834624e-01,7.533825377947778179e-01,8.562649207988215494e-01,9.719829958498849010e-01
5.776677245614472156e-01,-9.967108154285142518e-01,9.256391376766259782e-01,4.166761971191590419e+00,2.508534481222568502e+00,4.567673958888462948e-01,5.346890404211990244e-01,6.182410587030062743e-01,7.119008274969473860e-01,8.149720792971493211e-01,9.308674039232300856e-01
6.020797289396148111e-01,-9.979982370111883938e-01,9.266553929876408802e-01,4.052307404833754845e+00,2.459402298882196192e+00,4.055922573797943187e-01,4.819666040134507057e-01,5.657116385293647909e-01,6.599075035751411633e-01,7.630080075671230588e-01,8.790105989930907526e-01
6.255397669213365042e-01,-9.990750400845627155e-01,9.276334201047120587e-01,3.934757975656566487e+00,2.414415579465867268e+00,3.571820451497842441e-01,4.352348076963608037e-01,5.184480026798610197e-01,6.116337664252569084e-01,7.150165382086015597e-01,8.314176531598604925e-01
6.481512169239520560e-01,-9.965193467564859020e-01,9.286722533374813793e-01,3.818874702687935496e+00,2.361341890946277999e+00,3.038985710190900136e-01,3.814025724580005772e-01,4.632383762270819716e-01,5.557168013581303967e-01,6.592278882067148515e-01,7.757896031534983194e-01
6.699999999999999289e-01,-9.992656761426133016e-01,9.296283843696073745e-01,3.703234724383719367e+00,2.301902919725762331e+00,2.622067850666098821e-01,3.214351239932966564e-01,4.005967950604372163e-01,4.959963831652203226e-01,5.981027926793558436e-01,7.133172586293312634e-01
6.911584478250989427e-01,-9.965102744047271699e-01,9.306645659989953856e-01,3.584353677723584042e+00,2.248421188966176487e+00,2.108751698415289866e-01,2.723226080547647143e-01,3.507373162392468657e-01,4.415901267407207342e-01,5.423764837075850664e-01,6.579451381583112379e-01
7.116881339463233536e-01,-9.980115112284693168e-01,9.314871442711591953e-01,3.469106987097347883e+00,2.176296668494615005e+00,1.358969817033539584e-01,2.320059212479463895e-01,2.991695713205899665e-01,3.674876879244948213e-01,4.676866387853806373e-01,5.859833494525901187e-01
7.316419889536137644e-01,-9.992295260019545822e-01,9.325105921220711025e-01,3.348208293090237930e+00,2.119460152272267806e+00,1.319814288081033737e-01,1.851915818917859724e-01,2.413510443943778228e-01,3.202744238706145552e-01,4.169758402383649809e-01,5.280109320437986753e-01
7.510659092250159263e-01,-9.980587819313768705e-01,9.331297449932662857e-01,3.233444395931428517e+00,2.036312805273610138e+00,2.306452182665452710e-01,1.363365481665823609e-01,1.582345966255616077e-01,2.765942866744808271e-01,3.546198996673410875e-01,4.429376140535623563e-01
7.699999999999999067e-01,-9.990613509103241086e-01,9.338444708362203528e-01,3.112476030793231985e+00,1.975842127990290464e+00,-1.745698195065870095e-01,5.128582657221159025e-02,1.680804561488002946e-01,2.239868588560511853e-01,2.924106608759302617e-01,3.952500433967998106e-01
7.884795495128582576e-01,-9.971750186821282114e-01,9.326824351774121169e-01,2.997434381768471212e+00,1.890192694276038310e+00,-1.415125924779658817e+00,2.185733742976481153e-01,2.816073978806343803e-01,1.540088294404995395e-01,2.063813583674800611e-01,3.457109912119449291e-01
8.065358020571684605e-01,-9.938847766477465484e-01,9.339733466617872182e-01,2.874165764836789094e+00,1.831040691087082450e+00,1.671078794629465847e-01,-1.690803153024944550e+00,-1.176326895802048966e-01,7.887258050232048845e-02,2.063807947649820562e-01,2.883833840883198718e-01
8.241965784932621109e-01,-9.919267057512115571e-01,9.289328954764641821e-01,2.753184149639764655e+00,1.750016471362414450e+00,7.887085546087746479e-01,-4.362653417899764463e-01,-1.272500083899785750e+00,3.406509527792422887e-01,3.623227883053914411e-01,2.201559493641980225e-01
8.414867794564570014e-01,-9.816042106081113161e-01,9.279079969815029472e-01,2.618780678176335641e+00,1.691567433255158903e+00,4.270862802968622418e-01,1.083352730120168417e+00,-6.923362731470206199e-01,-1.377943672906667416e+00,-4.377295397262059851e-02,1.537497956860534032e-01
